"parameter_set_id","description","strategy","mean_estimated_rate","mean_true_rate","mean_bias","mean_bias_percent","lower_ci_mean_bias","upper_ci_mean_bias","lower_ci_mean_bias_percent","upper_ci_mean_bias_percent","monitoring_param_set","bias_v","bias_factor","p_sets_select","p_monitor","spp_param_set","species","V","mu_trips","theta_trips","mu_sets","theta_sets","beta_0","sigma_x","sigma_z","theta"
1,"Baseline_psets0.1","sets",7.41064341040794,7.42451570294247,-0.0138722925345317,-0.178748607461753,-1.64528228105127,1.73844353948684,-21.3429529439416,22.4030897064385,1,0,0,0.1,0.3,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
1,"Baseline_psets0.1","trips",7.38784610506595,7.42451570294247,-0.0366695978765256,-0.434429193407678,-1.73207770314958,1.93548525260504,-23.6048689983894,26.3133766546471,1,0,0,0.1,0.3,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
1,"Baseline_psets0.1","vessels",7.44890100874198,7.42451570294247,0.0243853057995098,0.391518737613339,-2.67135194642389,3.43711320336703,-33.3421599130509,43.6457038730603,1,0,0,0.1,0.3,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
2,"Baseline_psets0.1","sets",7.4448020784104,7.4432856779044,0.00151640050600938,0.0167569097526068,-0.844331005120272,0.912809233896337,-11.0771281230026,11.8182743113494,1,0,0,0.1,1,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
2,"Baseline_psets0.1","trips",7.41492468024684,7.4432856779044,-0.0283609976575542,-0.363810828451808,-0.806913927028173,0.783159102199035,-10.5300985089423,10.5554907188181,1,0,0,0.1,1,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
2,"Baseline_psets0.1","vessels",7.4446542320281,7.4432856779044,0.00136855412369906,0.0408573937767799,-0.814912036780108,0.943413552193914,-10.572921036335,12.675671240366,1,0,0,0.1,1,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
3,"Baseline_psets0.2","sets",7.43161085052726,7.44705219885157,-0.0154413483243148,-0.225022454931664,-1.10822831196849,1.27339933959708,-14.6366865645038,16.8132784344788,1,0,0,0.2,0.3,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
3,"Baseline_psets0.2","trips",7.4805988865547,7.44705219885157,0.0335466877031223,0.435615770600889,-1.2973030926342,1.83232773076136,-17.4260219162644,23.3549295669988,1,0,0,0.2,0.3,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
3,"Baseline_psets0.2","vessels",7.45982599429402,7.44705219885157,0.0127737954424507,0.280042501584752,-2.35803853149975,2.71376390663009,-29.7762683263388,36.3463812408744,1,0,0,0.2,0.3,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
4,"Baseline_psets0.2","sets",7.5064234245861,7.49256930013119,0.0138541244549158,0.181898834608,-0.545916149392075,0.617715735881905,-7.18518800425027,8.03676407170212,1,0,0,0.2,1,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
4,"Baseline_psets0.2","trips",7.4887904940052,7.49256930013119,-0.00377880612598753,-0.0590103730939791,-0.541966153338103,0.558722607292212,-7.08760770362808,7.23535907316501,1,0,0,0.2,1,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
4,"Baseline_psets0.2","vessels",7.50272429819549,7.49256930013119,0.010154998064297,0.110981834849094,-0.531547330067784,0.623852525454245,-7.05199237064826,8.12750893101295,1,0,0,0.2,1,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
5,"Baseline_psets0.3","sets",7.40394873115437,7.40632479715758,-0.00237606600320706,-0.0190318089894098,-0.895106057189142,1.05744281096853,-12.0142623430456,14.3479848981679,1,0,0,0.3,0.3,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
5,"Baseline_psets0.3","trips",7.41599946866127,7.40632479715758,0.00967467150369311,0.0881702638432419,-1.34934451755642,1.62240908675917,-18.5529560035625,21.0878176643996,1,0,0,0.3,0.3,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
5,"Baseline_psets0.3","vessels",7.44426264734363,7.40632479715758,0.0379378501860579,0.470307163684664,-2.26994338428451,2.8497503873088,-30.7534671003297,36.7705717859848,1,0,0,0.3,0.3,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
6,"Baseline_psets0.3","sets",7.46971834232072,7.46623723028092,0.00348111203980059,0.0463371213674438,-0.456710920000831,0.456767766788309,-5.9106346760427,6.18500270072804,1,0,0,0.3,1,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
6,"Baseline_psets0.3","trips",7.4592008825555,7.46623723028092,-0.00703634772542457,-0.0825806430298097,-0.426200986259313,0.43828213714612,-5.68973474360989,5.83422188367206,1,0,0,0.3,1,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
6,"Baseline_psets0.3","vessels",7.46714677735407,7.46623723028092,0.000909547073151827,0.0255867631953992,-0.455002483378115,0.467374107065597,-6.13539207295755,6.30825105922053,1,0,0,0.3,1,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
7,"Baseline_psets0.4","sets",7.45048830681932,7.46456980477966,-0.0140814979603441,-0.180932494667019,-0.769053912770947,0.805804219636825,-10.4163012653526,11.7510780863466,1,0,0,0.4,0.3,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
