"parameter_set_id","description","strategy","mean_estimated_rate","mean_true_rate","mean_bias","mean_bias_percent","lower_ci_mean_bias","upper_ci_mean_bias","lower_ci_mean_bias_percent","upper_ci_mean_bias_percent","monitoring_param_set","p_monitor","bias_v","bias_factor","p_sets_select","spp_param_set","species","V","mu_trips","theta_trips","mu_sets","theta_sets","beta_0","sigma_x","sigma_z","theta"
6,"Trip bias 20%","sets",367.820502717203,366.848024891795,0.972477825407712,0.279702692010383,-28.0918417299779,29.4697027874071,-7.4514431494034,7.85537255449795,6,0.2,0,-2,1,1,"Market species",50,10,1.13,26,1.8,5.6,0.41,0.67,0.42
6,"Trip bias 20%","trips",207.654617759718,366.848024891795,-159.193407132077,-43.301101205777,-214.82851597998,-110.810076282692,-53.116201545894,-32.2073926388221,6,0.2,0,-2,1,1,"Market species",50,10,1.13,26,1.8,5.6,0.41,0.67,0.42
6,"Trip bias 20%","vessels",364.426024204149,366.848024891795,-2.42200068764553,-0.667204201593098,-128.021961520009,168.457669215574,-34.4779525499583,45.3592050959845,6,0.2,0,-2,1,1,"Market species",50,10,1.13,26,1.8,5.6,0.41,0.67,0.42
7,"Baseline - sub-sample sets","sets",368.810055597298,368.410403564821,0.399652032476407,0.0615269630444729,-53.7513357517155,68.9657117049242,-14.623798957582,17.56383320618,7,0.3,0,0,0.2,1,"Market species",50,10,1.13,26,1.8,5.6,0.41,0.67,0.42
7,"Baseline - sub-sample sets","trips",368.873105218624,368.410403564821,0.462701653802206,0.117769687913482,-70.7732656107764,89.2373440656427,-17.788672091898,23.6500301797157,7,0.3,0,0,0.2,1,"Market species",50,10,1.13,26,1.8,5.6,0.41,0.67,0.42
7,"Baseline - sub-sample sets","vessels",368.940793860141,368.410403564821,0.530390295319822,0.161276973185887,-116.445305691504,151.495094387291,-30.1062653901371,38.6833977666746,7,0.3,0,0,0.2,1,"Market species",50,10,1.13,26,1.8,5.6,0.41,0.67,0.42
8,"Vessel bias - sub-sample sets","sets",365.521893575515,365.531970090671,-0.0100765151560197,-0.000143358188375744,-55.2541763911006,63.0416761709593,-14.9431097796336,17.3537507699257,8,0.3,-2,0,0.2,1,"Market species",50,10,1.13,26,1.8,5.6,0.41,0.67,0.42
8,"Vessel bias - sub-sample sets","trips",365.457048627159,365.531970090671,-0.0749214635118267,-0.0275290169836254,-65.7330877526548,79.5148553276693,-18.1205581767046,21.7343109532996,8,0.3,-2,0,0.2,1,"Market species",50,10,1.13,26,1.8,5.6,0.41,0.67,0.42
8,"Vessel bias - sub-sample sets","vessels",298.563522483889,365.531970090671,-66.9684476067823,-18.1304975018354,-164.668043999597,33.1587129034314,-42.579618625894,8.86063095609409,8,0.3,-2,0,0.2,1,"Market species",50,10,1.13,26,1.8,5.6,0.41,0.67,0.42
9,"Trip bias - sub-sample sets","sets",369.211353010062,369.095154135526,0.116198874536226,0.0207935488480995,-53.12748132445,62.1444100271568,-13.7160597106222,16.94944721734,9,0.3,0,-2,0.2,1,"Market species",50,10,1.13,26,1.8,5.6,0.41,0.67,0.42
9,"Trip bias - sub-sample sets","trips",223.452976014292,369.095154135526,-145.642178121234,-39.35637138391,-209.154553051885,-93.2936431839168,-51.1072385150516,-26.5993083019048,9,0.3,0,-2,0.2,1,"Market species",50,10,1.13,26,1.8,5.6,0.41,0.67,0.42
9,"Trip bias - sub-sample sets","vessels",370.821321118698,369.095154135526,1.72616698317252,0.482896864933234,-111.170484993933,122.85744505268,-28.6270826675603,32.9067078969989,9,0.3,0,-2,0.2,1,"Market species",50,10,1.13,26,1.8,5.6,0.41,0.67,0.42
10,"Baseline","sets",469.408811112125,469.959709936032,-0.550898823906594,-0.0774671659111871,-40.7979080295301,40.5896113950229,-7.82239707875736,7.73441887820026,1,0.3,0,0,1,2,"Market species + high vessel variance",50,10,1.13,26,1.8,5.6,0.82,0.67,0.42
10,"Baseline","trips",470.821329270252,469.959709936032,0.861619334220761,0.172753904976345,-115.444355947449,134.449037518172,-22.8446871346621,26.1421652864397,1,0.3,0,0,1,2,"Market species + high vessel variance",50,10,1.13,26,1.8,5.6,0.82,0.67,0.42
10,"Baseline","vessels",472.459151687283,469.959709936032,2.49944175125174,0.575484662502553,-241.769974749327,336.542454775092,-45.9416455033191,64.2373764516111,1,0.3,0,0,1,2,"Market species + high vessel variance",50,10,1.13,26,1.8,5.6,0.82,0.67,0.42
11,"Vessel bias","sets",475.869491137554,476.544857273975,-0.675366136420925,-0.16936237405756,-36.3379259366227,37.9408045126979,-7.54079468666849,7.70372497361517,2,0.3,-2,0,1,2,"Market species + high vessel variance",50,10,1.13,26,1.8,5.6,0.82,0.67,0.42
11,"Vessel bias","trips",474.364423131237,476.544857273975,-2.18043414273758,-0.295785832389767,-116.635842789955,126.799390664298,-20.2940505899138,23.5468521489954,2,0.3,-2,0,1,2,"Market species + high vessel variance",50,10,1.13,26,1.8,5.6,0.82,0.67,0.42
11,"Vessel bias","vessels",236.175441343281,476.544857273975,-240.369415930694,-49.1578091295511,-469.99625460812,-64.7765660425488,-73.2410216914723,-15.554932948413,2,0.3,-2,0,1,2,"Market species + high vessel variance",50,10,1.13,26,1.8,5.6,0.82,0.67,0.42
12,"Trip bias","sets",475.854437134106,476.679886392614,-0.825449258507957,-0.154495525513741,-39.3523534782002,44.4225080271306,-7.81275010847955,8.3261400909172,3,0.3,0,-2,1,2,"Market species + high vessel variance",50,10,1.13,26,1.8,5.6,0.82,0.67,0.42
12,"Trip bias","trips",287.086635304075,476.679886392614,-189.593251088539,-39.59867496328,-314.082196217116,-101.2036763621,-53.4316108424096,-23.5106581043154,3,0.3,0,-2,1,2,"Market species + high vessel variance",50,10,1.13,26,1.8,5.6,0.82,0.67,0.42
12,"Trip bias","vessels",481.554123061896,476.679886392614,4.87423666928206,1.35970270162251,-270.960109270326,315.8070835866,-49.2900366998933,63.0016395915649,3,0.3,0,-2,1,2,"Market species + high vessel variance",50,10,1.13,26,1.8,5.6,0.82,0.67,0.42
13,"Baseline 20%","sets",476.750745690877,475.437840560267,1.31290513060983,0.26426449140224,-42.5082863489272,54.1043217626155,-8.7520681040616,10.9248222828422,4,0.2,0,0,1,2,"Market species + high vessel variance",50,10,1.13,26,1.8,5.6,0.82,0.67,0.42
13,"Baseline 20%","trips",475.440743079233,475.437840560267,0.00290251896598196,-0.0120666568715674,-147.47308905168,186.070758840387,-28.7622553500751,37.7229887715327,4,0.2,0,0,1,2,"Market species + high vessel variance",50,10,1.13,26,1.8,5.6,0.82,0.67,0.42
