"species","sets_Random sets","trips_Baseline 75%","trips_Trip bias 75%","vessels_Baseline 20%","vessels_Vessel bias 20%"
"Bycatch species ",-6.16597179500811,11.8489082964529,630.524880460591,9.68698794062618,517.7087788107
"Market species",-92.5294132245838,-614.1777805837,42387.9780307328,390.400374788987,20653.778451561
"Market species + high trip variance",-355.287566112849,2632.47478492196,145611.277955128,-2513.00243814541,40508.9520337759
"Market species + high vessel variance",-263.925997274704,339.166261235561,53883.8830896035,1389.06076904776,69787.9951563042
"Rare bycatch species",0.485177206164825,0.790047948257998,59.7000076910283,2.35601375267596,48.1792096151597
