"parameter_set_id","description","strategy","mean_estimated_rate","mean_true_rate","mean_bias","mean_bias_percent","lower_ci_mean_bias","upper_ci_mean_bias","lower_ci_mean_bias_percent","upper_ci_mean_bias_percent","monitoring_param_set","p_monitor","bias_v","bias_factor","p_sets_select","spp_param_set","species","V","mu_trips","theta_trips","mu_sets","theta_sets","beta_0","sigma_x","sigma_z","theta"
5,"Vessel bias 20%","sets",7.46906141217154,7.46486474499724,0.0041966671743033,0.0720267701811281,-1.36358244434778,1.5949410274121,-17.867045170646,20.6914633729338,5,0.2,-2,0,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
5,"Vessel bias 20%","trips",7.50374604387521,7.46486474499724,0.0388812988779659,0.459841481189115,-1.81419680332733,2.58931285431692,-23.5638593324857,35.5816559927267,5,0.2,-2,0,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
5,"Vessel bias 20%","vessels",5.88519982578523,7.46486474499724,-1.57966491921201,-20.9906362132441,-4.00721876762119,1.188372802038,-48.1880314475009,15.8422535459955,5,0.2,-2,0,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
6,"Trip bias 20%","sets",7.45367120533446,7.42532715413086,0.02834405120359,0.337106758717886,-1.27691385816551,1.63564755089364,-17.2857467615388,21.663150864167,6,0.2,0,-2,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
6,"Trip bias 20%","trips",4.22944034543559,7.42532715413086,-3.19588680869528,-42.8953060363725,-4.64008388214404,-1.91908198649548,-55.5912304313298,-27.6650845048682,6,0.2,0,-2,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
6,"Trip bias 20%","vessels",7.52082242142613,7.42532715413086,0.0954952672952655,1.24298405848899,-2.84647523429574,4.10801267634818,-36.3701757337392,53.602573008773,6,0.2,0,-2,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
7,"Baseline 75%","sets",7.44869785209162,7.45466542163262,-0.00596756954099713,-0.0752213875342759,-0.7453577868196,0.730850219543003,-9.6832357027053,9.71595294496543,7,0.2,0,0,0.75,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
7,"Baseline 75%","trips",7.49743708382274,7.45466542163262,0.0427716621901218,0.530384581688605,-1.46299933853731,1.82270904227521,-19.0510560644057,23.6946204439992,7,0.2,0,0,0.75,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
7,"Baseline 75%","vessels",7.49519309978829,7.45466542163262,0.0397725425479151,0.662911882318044,-2.69984966932634,3.60492017055642,-34.7759335941038,48.9812680315911,7,0.2,0,0,0.75,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
8,"Vessel bias 75%","sets",7.44588984127771,7.43604975059,0.00984009068771511,0.127214520465756,-0.664206774239457,0.721738913122615,-8.89956642735722,9.42620659622318,8,0.2,-2,0,0.75,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
8,"Vessel bias 75%","trips",7.45533657839239,7.43604975059,0.0192868278023957,0.257439493669065,-1.51609884722929,1.92485197201507,-19.3415136680425,25.5360027499603,8,0.2,-2,0,0.75,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
8,"Vessel bias 75%","vessels",5.83039469090975,7.43604975059,-1.60565505968025,-21.3350865999926,-3.9105944182058,0.845486155945787,-47.1856455435288,11.3412083308957,8,0.2,-2,0,0.75,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
9,"Trip bias 75%","sets",7.44183489506793,7.45064741170466,-0.00881251663673085,-0.102254809997592,-0.704723998908712,0.738468811606681,-9.08228702391852,9.78658356449954,9,0.2,0,-2,0.75,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
9,"Trip bias 75%","trips",4.24407036994497,7.45064741170466,-3.20657704175969,-42.9303488456463,-4.43806731405744,-2.15896889683485,-52.674486658889,-31.1081072619634,9,0.2,0,-2,0.75,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
9,"Trip bias 75%","vessels",7.46746828504711,7.45064741170466,0.0168208733424452,0.323602674179095,-2.74414915750906,3.30504828399954,-36.2609719666634,44.4012253069574,9,0.2,0,-2,0.75,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
10,"Baseline","sets",9.5849223195029,9.56410648259122,0.020815836911676,0.187264453710037,-1.07950005713518,1.20440331453612,-9.60296632793498,12.4294439683956,1,1,0,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
10,"Baseline","trips",9.56244067055897,9.56410648259122,-0.00166581203225503,-0.0185896892180527,-0.893015889155545,0.964397966261277,-8.53387543390593,9.46887100222672,1,1,0,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
10,"Baseline","vessels",9.56646773526288,9.56410648259122,0.00236125267166059,0.00571929154059934,-0.981372467502516,1.03706770387181,-9.68417318093487,10.2487085820619,1,1,0,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
11,"Vessel bias","sets",9.49481880431667,9.50127381950062,-0.00645501518394439,-0.041720504135365,-1.01028432633853,0.995062602777315,-9.77202568074471,10.1971904327224,2,1,-2,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
11,"Vessel bias","trips",9.50321201897505,9.50127381950062,0.00193819947443118,0.0150881485833767,-0.920609295203926,0.932757367406445,-9.23800309497141,9.4456522361749,2,1,-2,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
11,"Vessel bias","vessels",9.51148157619695,9.50127381950062,0.0102077566963269,0.0766000897248661,-0.968327518515998,1.13316473255302,-9.17786374211186,10.5580433208057,2,1,-2,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
12,"Trip bias","sets",9.58018244091786,9.55869503771727,0.0214874032005816,0.278920726627284,-1.0038328352998,1.12741639241032,-9.49225971103061,10.9668311294449,3,1,0,-2,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
12,"Trip bias","trips",9.56173108984155,9.55869503771727,0.00303605212427755,0.0350842563175936,-0.83952159118326,0.954865889194593,-8.79647926548548,9.62964943256942,3,1,0,-2,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
