"parameter_set_id","description","strategy","mean_estimated_rate","mean_monitored_sets","mean_true_rate","mean_true_catch","mean_estimated_catch","mean_catch_real","lower_ci_catch_real","upper_ci_catch_real","mean_catch_estimated","lower_ci_catch_estimated","upper_ci_catch_estimated","mean_catch_missed","lower_ci_catch_missed","upper_ci_catch_missed","mean_bias","mean_bias_percent","lower_ci_mean_bias","upper_ci_mean_bias","lower_ci_mean_bias_percent","upper_ci_mean_bias_percent","monitoring_param_set","p_monitor","bias_v","bias_factor","p_sets_select","spp_param_set","species","V","mu_trips","theta_trips","mu_sets","theta_sets","beta_0","sigma_x","sigma_z","theta"
4,"Baseline 20%","trips",7.40196642260451,523.673,7.45390363439185,98133.12,97433.3012298231,98133.12,68418.5,133821.975,97433.3012298231,61784.7683208454,143995.409511077,699.818770176926,-26451.7834358169,24342.0834872084,-0.0519372117873348,-0.688261637553878,-1.88043246605099,2.09650414483039,-24.8671191257219,28.2025904886972,4,0.2,0,0,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
4,"Baseline 20%","vessels",7.42900570371598,525.366,7.45390363439185,98133.12,97742.719625211,98133.12,68418.5,133821.975,97742.719625211,53779.219434968,160304.309418299,390.400374788987,-49444.0811764708,38824.7366773514,-0.0248979306758668,-0.264851693932275,-2.90074080890292,3.66805786511314,-36.7803111563335,48.4790548463148,4,0.2,0,0,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
5,"Vessel bias 20%","sets",7.46906141217154,522.68,7.46486474499724,97476.958,97570.0175870567,97476.958,67533.7,132192.375,97570.0175870567,64052.6041813033,141060.293734708,-93.059587056727,-21000.2149557476,17406.5128177819,0.00419666717430326,0.0720267701811277,-1.36358244434777,1.59494102741211,-17.867045170646,20.6914633729338,5,0.2,-2,0,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
5,"Vessel bias 20%","trips",7.50374604387521,521.313,7.46486474499724,97476.958,98014.7710497313,97476.958,67533.7,132192.375,98014.7710497313,59688.8721065229,144529.601221374,-537.813049731282,-34058.8884960156,24007.8302652216,0.0388812988779661,0.459841481189115,-1.81419680332733,2.58931285431692,-23.5638593324856,35.5816559927267,5,0.2,-2,0,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
5,"Vessel bias 20%","vessels",5.88519982578523,598.022,7.46486474499724,97476.958,76823.179548439,97476.958,67533.7,132192.375,76823.179548439,45253.11405414,122163.328993371,20653.778451561,-15313.7488927739,53287.3841445099,-1.57966491921201,-20.9906362132441,-4.0072187676212,1.188372802038,-48.1880314475009,15.8422535459956,5,0.2,-2,0,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
6,"Trip bias 20%","sets",7.45367120533445,525.004,7.42532715413086,97432.159,97847.5215645541,97432.159,67517.25,135079.8,97847.5215645541,64902.6569935152,143981.383330366,-415.362564554091,-21124.8522776572,16983.8706169876,0.02834405120359,0.337106758717886,-1.27691385816551,1.63564755089364,-17.2857467615388,21.663150864167,6,0.2,0,-2,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
6,"Trip bias 20%","trips",4.22944034543559,684.165,7.42532715413086,97432.159,55479.6534711427,97432.159,67517.25,135079.8,55479.6534711427,36523.1111986037,79923.9792769677,41952.5055288573,22549.5756939127,64334.4584778628,-3.19588680869528,-42.8953060363725,-4.64008388214404,-1.91908198649548,-55.5912304313298,-27.6650845048682,6,0.2,0,-2,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
6,"Trip bias 20%","vessels",7.52082242142613,530.134,7.42532715413086,97432.159,98702.0709111539,97432.159,67517.25,135079.8,98702.0709111539,52921.3882438441,166313.775567526,-1269.9119111539,-50928.514002535,36636.6654471545,0.0954952672952653,1.242984058489,-2.84647523429574,4.10801267634818,-36.3701757337392,53.602573008773,6,0.2,0,-2,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
7,"Baseline 75%","sets",7.44869785209162,1943.723,7.45466542163262,96689.198,96585.8275352479,96689.198,66926.45,134455.425,96585.8275352479,66774.5287323956,136325.099549951,103.370464752059,-9282.30201739596,9739.42525028871,-0.00596756954099718,-0.0752213875342757,-0.7453577868196,0.730850219543004,-9.68323570270531,9.71595294496543,7,0.2,0,0,0.75,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
7,"Baseline 75%","trips",7.49743708382274,1941.774,7.45466542163262,96689.198,97303.3757805837,96689.198,66926.45,134455.425,97303.3757805837,64217.7122655194,144874.202580749,-614.1777805837,-24053.4179099602,18522.4117865087,0.0427716621901218,0.530384581688604,-1.46299933853731,1.82270904227521,-19.0510560644057,23.6946204439991,7,0.2,0,0,0.75,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
