"parameter_set_id","description","strategy","mean_estimated_rate","mean_monitored_sets","mean_true_rate","mean_true_catch","mean_estimated_catch","mean_catch_real","lower_ci_catch_real","upper_ci_catch_real","mean_catch_estimated","lower_ci_catch_estimated","upper_ci_catch_estimated","mean_catch_missed","lower_ci_catch_missed","upper_ci_catch_missed","mean_bias","mean_bias_percent","lower_ci_mean_bias","upper_ci_mean_bias","lower_ci_mean_bias_percent","upper_ci_mean_bias_percent","monitoring_param_set","p_monitor","bias_v","bias_factor","p_sets_select","spp_param_set","species","V","mu_trips","theta_trips","mu_sets","theta_sets","beta_0","sigma_x","sigma_z","theta","x_axis","plot_group","colour_scale"
10,"Random sets","sets",9.5849223195029,2604.15,9.56410648259122,124576.694,124840.619997275,124576.694,76022.5,199023.224999999,124840.619997275,76267.2059893302,200422.390290033,-263.925997274704,-15221.2856965619,14446.2908140814,0.0208158369116761,0.187264453710037,-1.07950005713518,1.20440331453613,-9.60296632793498,12.4294439683957,1,1,0,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42,NA,"trips","Scnr 1: Random Sets"
18,"Trip bias 75%","trips",5.40044323329945,2552.941,9.523628961399,124504.423,70620.5399103965,124504.423,76749.475,200005.75,70620.5399103965,40882.4649258097,116677.319378784,53883.8830896035,24170.5612184772,99431.5022788122,-4.12318572809955,-43.0301156854054,-7.33114400687565,-2.16875068897662,-57.3486877803159,-26.3808367462217,9,0.2,0,-2,0.75,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42,NA,"trips","Scnr 3: Bias to low 
 catch rate trips"
43,"Baseline 75%","trips",0.0106821691885678,1967.572,0.0107524762291634,140.459,139.668952051742,140.459,90,210,139.668952051742,61.1388830772042,235.487344529496,0.790047948257998,-70.6157401343355,60.9062546023564,-7.03070405956573e-05,-0.73420569382566,-0.00476679567032237,0.0056455450922826,-46.2039044079361,48.26988857099,7,0.2,0,0,0.75,5,"Rare bycatch species",50,10,1.13,26,1.8,-4.9,0.55,0.65,0.42,NA,"trips","Scnr 3: Randomly 
 selected trips"
37,"Random sets","sets",0.0106642405071183,2612.785,0.010715980149518,139.905,139.419822793835,139.905,88.975,200,139.419822793835,70.2120204155738,215.719371000426,0.485177206164825,-47.4223880891004,48.0210335288471,-5.17396423997037e-05,-0.378089402788116,-0.00379146444754961,0.00354412383607195,-34.1038584516419,35.3871069966123,1,1,0,0,0.2,5,"Rare bycatch species",50,10,1.13,26,1.8,-4.9,0.55,0.65,0.42,NA,"trips","Scnr 1: Random Sets"
45,"Trip bias 75%","trips",0.00615751037185662,2555.782,0.0106870243627094,141.132,81.4319923089717,141.132,90.975,203,81.4319923089717,36.7147196121646,144.005090831326,59.7000076910283,14.4485805814585,108.521571087302,-0.00452951399085283,-42.2525139149499,-0.008154971647799,-0.00104122648080433,-69.660333040186,-11.2469069710804,9,0.2,0,-2,0.75,5,"Rare bycatch species",50,10,1.13,26,1.8,-4.9,0.55,0.65,0.42,NA,"trips","Scnr 3: Bias to low 
 catch rate trips"
31,"Baseline 20%","vessels",0.114962009614321,515.814,0.115673185657974,1510.714,1501.02701205937,1510.714,992.9,2177.99999999999,1501.02701205937,657.610889355743,2915.16187232143,9.68698794062618,-1169.78568057324,779.434463155429,-0.000711176043652898,-0.41624920062355,-0.0605462033613188,0.0818055803363251,-49.8676410383859,69.3237338788316,4,0.2,0,0,0.2,4,"Bycatch species ",50,10,1.13,26,1.8,-2.52,0.55,0.65,0.42,NA,"vessels","Scnr 2: Randomly 
 selected vessels"
28,"Random sets","sets",0.116160217815647,2617.293,0.115673557140266,1513.233,1519.39897179501,1513.233,1019.95,2220.34999999999,1519.39897179501,985.546720771197,2232.92559613357,-6.16597179500811,-213.682241219582,189.457316604085,0.000486660675380464,0.410427977294468,-0.0150577737515044,0.0159418073967088,-12.8673518297529,13.9044940153935,1,1,0,0,0.2,4,"Bycatch species ",50,10,1.13,26,1.8,-2.52,0.55,0.65,0.42,NA,"vessels","Scnr 1: Random Sets"
32,"Vessel bias 20%","vessels",0.0759339845467064,632.114,0.115583445847976,1511.915,994.2062211893,1511.915,1014.85,2179.07500000001,994.2062211893,471.853089244186,1770.16312593979,517.7087788107,-76.9781499202437,1146.26766789009,-0.0396494613012691,-33.9267951794059,-0.0874146751423689,0.00549901159867972,-67.0589637710666,4.73489516566873,5,0.2,-2,0,0.2,4,"Bycatch species ",50,10,1.13,26,1.8,-2.52,0.55,0.65,0.42,NA,"vessels","Scnr 2: Bias to low 
 catch rate vessels"
4,"Baseline 20%","vessels",7.42900570371598,525.366,7.45390363439185,98133.12,97742.719625211,98133.12,68418.5,133821.975,97742.719625211,53779.219434968,160304.309418299,390.400374788987,-49444.0811764708,38824.7366773514,-0.0248979306758668,-0.264851693932275,-2.90074080890292,3.66805786511314,-36.7803111563335,48.4790548463148,4,0.2,0,0,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42,NA,"vessels","Scnr 2: Randomly 
 selected vessels"
1,"Random sets","sets",7.46153260169851,2618.08,7.45472894594151,97553.337,97645.8664132246,97553.337,69461.575,134113.6,97645.8664132246,67822.1026320428,134971.641449398,-92.5294132245838,-8144.6990665392,7274.26183479523,0.00680365575699791,0.0861809651948686,-0.548500420795607,0.64799963184714,-7.64131790004259,8.65210881436654,1,1,0,0,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42,NA,"vessels","Scnr 1: Random Sets"
