"parameter_set_id","description","strategy","mean_estimated_rate","mean_true_rate","mean_bias","mean_bias_percent","lower_ci_mean_bias","upper_ci_mean_bias","lower_ci_mean_bias_percent","upper_ci_mean_bias_percent","monitoring_param_set","p_monitor","bias_v","bias_factor","p_sets_select","spp_param_set","species","V","mu_trips","theta_trips","mu_sets","theta_sets","beta_0","sigma_x","sigma_z","theta"
5,"Vessel bias 100%","trips",7.45701965549918,7.45994690144348,-0.00292724594430443,-0.0369206976818017,-0.577029232738884,0.548154453939545,-7.83115198562484,7.25622123118262,14,1,-2,0,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
5,"Vessel bias 100%","vessels",7.46155019054591,7.45994690144348,0.00160328910243268,0.00779408099798921,-0.573463842757506,0.64733063790637,-7.7734287961008,8.56829690385083,14,1,-2,0,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
6,"Trip bias 100%","sets",7.47837756001124,7.48831378698196,-0.00993622697071961,-0.141116949114743,-0.594741491746566,0.633840249785635,-7.69981504806458,8.17529030321384,15,1,0,-2,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
6,"Trip bias 100%","trips",7.49467192903814,7.48831378698196,0.00635814205617864,0.0906301914156777,-0.536139986010462,0.51300952904108,-6.95119419946358,6.92284153570033,15,1,0,-2,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
6,"Trip bias 100%","vessels",7.49153662949335,7.48831378698196,0.00322284251139524,0.0421001409237076,-0.581170508784076,0.635653557069555,-7.72268671270298,8.24655631301385,15,1,0,-2,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
7,"Baseline 30%","sets",9.52647187805958,9.52466593011574,0.00180594794384318,0.0643706074691845,-1.83945605386363,2.10521487312703,-17.1491327961051,21.5818425725463,10,0.3,0,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
7,"Baseline 30%","trips",9.48287893171418,9.52466593011574,-0.0417869984015589,-0.473372025260851,-2.96370186277576,2.93467437230548,-29.3643150354524,29.3402446142699,10,0.3,0,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
7,"Baseline 30%","vessels",9.49155552041729,9.52466593011574,-0.0331104096984521,0.0256628484215706,-5.57013423891118,7.09309035318835,-51.4786175566325,71.0527180312118,10,0.3,0,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
8,"Vessel bias 30%","sets",9.60075807532103,9.56081970612542,0.0399383691956104,0.457512759083866,-2.00242890248714,2.20096861639955,-18.4318837284442,21.5299741669708,11,0.3,-2,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
8,"Vessel bias 30%","trips",9.49294466588364,9.56081970612542,-0.067875040241776,-0.63377399160976,-2.55913511156608,3.1945191509452,-25.7872916595751,33.2971799973857,11,0.3,-2,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
